1	22	9
1	23	8
1	30	9
1	36	6
1	42	6
1	47	11
1	535	11
1	596	2
1	1272	4
1	2218	3
1	3939	7
1	4478	7
1	4665	6
1	4760	7
2	3	6
2	16	3
2	25	8
2	27	3
2	29	4
2	35	6
2	41	5
2	72	9
2	146	8
2	407	9
2	935	3
2	1377	3
2	1744	1
2	1984	10
2	2042	4
2	2316	5
2	2531	9
2	2979	1
2	3901	2
2	4219	7
2	4886	4
3	4	5
3	12	4
3	23	7
3	35	6
3	49	5
3	1106	4
3	1893	7
3	3803	4
3	4672	7
3	4693	9
3	4706	4
4	7	10
4	18	9
4	19	8
4	30	10
4	38	8
4	39	10
4	43	9
4	44	9
4	48	9
4	1220	9
4	1380	9
4	1789	11
4	4242	8
4	4677	10
4	4844	9
5	5	4
5	16	4
5	23	8
5	31	6
5	43	5
5	45	9
5	82	7
5	368	11
5	507	1
5	904	3
5	1059	9
5	1219	2
5	1615	7
5	2348	11
5	3800	2
5	3857	1
5	4039	4
5	4111	7
5	4214	3
6	3	4
6	4	2
6	13	3
6	14	3
6	20	3
6	21	6
6	22	5
6	33	3
6	42	4
6	47	5
6	49	2
6	436	4
6	465	6
6	1209	4
6	1880	5
6	2231	4
6	2349	2
6	2502	5
6	2751	5
6	3573	6
6	4761	2
6	4820	4
7	1	9
7	4	2
7	14	4
7	27	3
7	31	6
7	35	7
7	36	7
7	38	3
7	42	6
7	197	3
7	671	2
7	807	2
7	1596	10
7	1620	7
7	1955	4
7	3385	8
7	4394	2
7	4502	5
8	3	5
8	6	4
8	13	3
8	16	3
8	25	6
8	26	6
8	29	3
8	33	3
8	34	4
8	39	7
8	48	5
8	2008	3
8	2662	3
8	2994	5
8	4264	6
8	4444	3
8	4616	6
8	4674	5
9	9	5
9	19	3
9	20	4
9	23	5
9	27	3
9	29	4
9	36	5
9	39	5
9	40	5
9	44	4
9	45	5
9	1235	5
9	1321	4
9	1427	5
9	2175	5
9	2667	3
9	2953	5
9	2995	3
9	3773	6
9	4420	4
9	4487	6
9	4538	5
10	14	6
10	21	8
10	25	7
10	27	5
10	30	7
10	32	6
10	34	6
10	35	6
10	46	5
10	49	5
10	1009	6
10	1473	6
10	1588	7
10	2225	7
10	2441	6
10	3254	7
10	3322	6
10	3791	7
11	3	8
11	4	4
11	8	10
11	16	5
11	29	6
11	32	7
11	36	8
11	39	10
11	40	10
11	43	6
11	45	11
11	46	4
11	48	8
11	120	10
11	216	5
11	308	8
11	335	12
11	822	6
11	1049	12
11	1507	7
11	1800	12
11	2228	8
11	3545	13
11	4224	11
11	4507	10
11	4686	4
11	4788	9
11	4964	5
12	5	3
12	9	4
12	10	3
12	13	3
12	14	3
12	16	3
12	18	3
12	24	2
12	26	4
12	31	3
12	38	3
12	40	4
12	50	3
12	93	3
12	1693	3
12	1912	3
12	2668	4
12	2690	4
12	4144	2
12	4152	3
12	4414	2
12	4777	4
13	18	10
13	22	10
13	28	11
13	31	10
13	34	10
13	37	11
13	40	10
13	45	10
13	801	9
13	837	11
13	925	11
13	1484	11
13	2048	11
13	2224	11
13	2749	9
13	2938	9
13	3196	11
13	4055	9
13	4696	10
13	4986	10
14	8	10
14	17	7
14	23	10
14	26	10
14	28	11
14	30	11
14	31	9
14	40	10
14	43	9
14	49	7
14	130	11
14	317	11
14	1850	7
14	2110	9
14	2367	10
14	2909	8
14	3173	10
14	3402	9
14	3659	8
14	4576	8
14	4604	8
14	4634	11
14	4824	8
14	4838	10
15	2	9
15	12	7
15	13	8
15	15	7
15	18	8
15	19	7
15	20	8
15	21	11
15	38	8
15	47	10
15	608	8
15	1363	8
15	1888	9
15	2126	10
15	2223	8
15	2271	9
15	2289	11
15	2527	8
15	2932	9
15	3506	11
15	4761	7
16	6	6
16	8	9
16	10	6
16	12	4
16	14	5
16	15	4
16	31	6
16	33	4
16	35	7
16	49	4
16	50	7
16	3172	7
16	3803	3
16	4022	5
16	4147	5
17	5	4
17	12	4
17	17	3
17	20	5
17	22	7
17	23	6
17	26	6
17	36	6
17	37	8
17	39	7
17	40	6
17	42	5
17	46	3
17	113	4
17	380	5
17	635	5
17	734	4
17	1199	6
17	1438	3
17	1472	5
17	1958	5
17	2961	7
17	3670	5
17	3951	6
17	4869	6
18	1	7
18	2	7
18	10	7
18	12	6
18	13	6
18	15	6
18	24	6
18	33	6
18	35	7
18	40	7
18	47	8
18	815	6
18	1753	7
18	2144	7
18	2904	8
18	3056	7
18	3213	8
18	3271	8
18	3547	7
18	3596	7
18	3709	7
18	4506	8
18	4893	8
19	1	7
19	12	2
19	13	3
19	17	1
19	19	2
19	25	8
19	27	3
19	28	8
19	31	5
19	35	5
19	36	5
19	38	3
19	41	4
19	42	5
19	44	5
19	49	2
19	479	9
19	590	2
19	1407	5
19	1857	4
19	2129	4
19	2149	6
19	2209	6
19	2478	2
19	3023	7
19	3840	5
19	3868	5
19	4496	6
19	4979	8
20	1	9
20	4	5
20	19	5
20	23	9
20	29	6
20	37	12
20	38	5
20	39	10
20	42	7
20	384	8
20	1340	9
20	1513	6
20	2001	4
20	3055	9
20	3148	7
20	3201	11
20	3283	6
20	4179	11
20	4589	8
20	4706	4
21	14	6
21	20	6
21	21	7
21	24	5
21	32	6
21	34	6
21	38	5
21	43	6
21	775	7
21	882	5
21	1090	6
